,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,classifier,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
23,0.848009721029 (0.00101176720721),0.936326666667 (6.79869268479e-05),0.166804811782 (0.00193314407619),0.24221971284 (0.00387745898191),0.359888808926 (0.00550563109796),0.4079100552 (0.00715876160835),0.595958226156 (0.0102152964241),0.729365079365 (0.0615476062551),0.583333333333 (0.424918292799),0.820173170376 (0.00127773546741),0.701940570541 (0.00697883861619),0.521608991551 (0.00730559297025),0.449513320673 (0.00350392028775),0.14689774641 (0.00403227079972),0.0076868980782 (0.00138424895854),0.000400887245091 (0.000376007958196),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.277222201123 (0.00265625147943),0.360144318591 (0.00476736409083),0.425906119431 (0.00600787159624),0.427690839665 (0.00546226492263),0.235694198927 (0.0059877705311),0.0152055164687 (0.00270871069128),nan (nan),0.10710922877 (0.000189047475515),1.0725402832 (0.0466771787996)
24,0.862526120979 (0.00215002873592),0.936593333333 (0.000146363322667),0.168563330279 (0.00281900912899),0.268558742993 (0.00327212511396),0.401090518543 (0.0124312889324),0.444539994411 (0.00692601753999),0.649753469968 (0.0287824868321),0.5 (0.353553390593),0.0 (0.0),0.851903407444 (0.00359822796707),0.678810499341 (0.00506979195599),0.489599480392 (0.00537016453252),0.418398946734 (0.0033744609465),0.112782292301 (0.0113800427107),0.000901366164318 (0.000738029018937),0.0 (0.0),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.281426707858 (0.00389799969116),0.384852167043 (0.00406714493432),0.440900572731 (0.00959940119925),0.431048718288 (0.00414564363354),0.191817605537 (0.0157675818113),nan (nan),nan (nan),0.112252950668 (0.000130415761853),1.46313667297 (0.00372517765383)
25,0.862127863617 (0.00258594470557),0.935886666667 (0.000131993265821),0.165940402199 (0.00181441692308),0.266338490985 (0.00168664549472),0.398091635104 (0.0104980222535),0.447996093067 (0.0106000792585),0.647492722777 (0.0280857564976),0.5 (0.408248290464),0.0 (0.0),0.853183740779 (0.00245468672688),0.680085620641 (0.00941852200783),0.483411712909 (0.00876196177059),0.405416437199 (0.00841060821241),0.0908667525903 (0.00702955307465),0.000300455388106 (0.000246009672979),0.0 (0.0),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.277839283085 (0.00267056369482),0.382753308911 (0.00213365673479),0.436509751803 (0.00711168375412),0.425519872089 (0.00596118593613),0.159144736365 (0.0101043242071),nan (nan),nan (nan),0.112116495768 (0.000177430131931),1.29590670268 (0.044506482222)
26,0.855787758712 (0.00157121180159),0.936686666667 (0.000319304800395),0.17418487847 (0.00287414353572),0.253260234141 (0.00157244314),0.371414332159 (0.00700751117619),0.415104846348 (0.00759283315562),0.605075314 (0.0228256909209),0.710037878788 (0.056932334823),0.909090909091 (0.128564869307),0.829150066786 (0.00131748634364),0.697141547093 (0.00896272537996),0.520203223685 (0.00865359479718),0.449224141114 (0.00263949880589),0.152789864917 (0.00598392125204),0.00818117992554 (0.00100300251761),0.0013006425767 (0.000794260878241),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.287880012301 (0.00395201156679),0.37153360525 (0.00245652956485),0.43336790539 (0.0070275320003),0.431452064986 (0.00427670542077),0.243858044084 (0.00776460634562),0.0161728015522 (0.00196610916819),0.00259520585872 (0.00158158761349),0.112338463465 (0.000636811943514),2.12884799639 (0.046864365855)
27,0.855967714024 (0.00229458983878),0.9364 (0.000311555238548),0.172090450363 (0.00206061844131),0.251969685698 (0.00181444419772),0.373587987263 (0.00859240665987),0.418973245612 (0.00891480759022),0.604779813699 (0.0129490605859),0.769892473118 (0.116896442212),0.592592592593 (0.428734700103),0.829355447206 (0.00242237914947),0.696163242319 (0.00522959497095),0.51721705242 (0.00750577807076),0.446424721394 (0.00283976617197),0.140635491332 (0.00465015257672),0.00479348983219 (0.00131907808925),0.0010017980213 (0.000864247810228),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.285030809756 (0.00287220163079),0.370014784036 (0.00263264470558),0.433811394936 (0.00830745451898),0.432233571284 (0.00582811687526),0.228102773542 (0.00520532869178),0.00952095611317 (0.0025988585772),nan (nan),0.112407604853 (8.29624334864e-05),1.86495463053 (0.0023752871813)
28,0.853060709106 (0.00198062779905),0.93694 (0.000325371582451),0.171854242329 (0.00146828341161),0.248009320947 (0.00233005886244),0.363319755417 (0.00631687421536),0.4095386041 (0.00687648138123),0.610218350352 (0.0192766976503),0.786894036894 (0.0919794577857),0.458333333333 (0.328083661417),0.827073593982 (0.00488866621642),0.70043314531 (0.00891004171197),0.526175004163 (0.0113012650884),0.453197928697 (0.00464207489069),0.157995202032 (0.0060159436893),0.00998005900488 (0.00163068987458),0.000800934307333 (0.000618704792038),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.284574582276 (0.00214538827365),0.366310638427 (0.00362827557322),0.429830690455 (0.00802621327559),0.430254299047 (0.00570451496874),0.250811497686 (0.00609535238327),0.0196985931625 (0.0031678995976),nan (nan),0.11132868131 (0.000134030029532),2.26502633095 (0.00285103679016)
29,0.853260402519 (0.00216635910088),0.93662 (0.000424578222082),0.170246683515 (0.0020386602534),0.24733288953 (0.0035739570005),0.36860069965 (0.00700514869421),0.412213892745 (0.0127929984016),0.60815455897 (0.0104535812744),0.806127899878 (0.0763550133836),0.611111111111 (0.43744488189),0.829148910811 (0.00163355782011),0.702824287078 (0.00956545309618),0.524498931872 (0.00745386862114),0.446308427469 (0.00619846214417),0.146245392215 (0.00725963707431),0.00728219524379 (0.00149359204733),0.000800934307333 (0.000618704792038),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.282485251391 (0.00283880140273),0.365888159763 (0.00476275209545),0.432920824504 (0.00675171400009),0.428541116037 (0.00947670025172),0.23563408828 (0.00887338660751),0.0144257383331 (0.0029288380727),nan (nan),0.111873467763 (0.000608644056951),1.96435046196 (0.00264979118877)
30,0.862943875842 (0.00251489430921),0.936346666667 (0.000322628096868),0.168113718195 (0.00350534112483),0.26716688793 (0.00145691973732),0.398734420054 (0.00963117239434),0.443940000981 (0.0091744107408),0.633280624424 (0.0257947162971),0.814102564103 (0.133542734974),0.0 (0.0),0.851894304499 (0.00182612931703),0.683168686305 (0.0107839978084),0.486210709644 (0.00680297799699),0.413317320338 (0.00518953155552),0.114817676226 (0.0058471896999),0.00130186808448 (0.00102640065321),0.0 (0.0),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.280794411763 (0.00489278716082),0.384096479987 (0.0023805188273),0.438097360146 (0.0074201797132),0.428057882983 (0.00652472216466),0.194181480681 (0.00726196233843),0.00259591071784 (0.00204345372214),nan (nan),0.22625541687 (0.000426956265427),2.8021496137 (0.00261400982199)
31,0.862814123447 (0.00217276403417),0.935893333333 (0.000132999582288),0.166733007118 (0.00308913152463),0.270621577442 (0.00224607174421),0.403462749072 (0.00952662175235),0.450113569539 (0.0106499945462),0.64902289187 (0.0265225502511),0.333333333333 (0.471404520791),0.0 (0.0),0.855586474168 (0.00245557738456),0.675715494392 (0.00540583907368),0.47590988601 (0.0109939463654),0.402617226078 (0.00730761779162),0.0902695183374 (0.00710253473364),0.000100431856985 (0.000142032094243),0.0 (0.0),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.27906857814 (0.00439534989932),0.386465012766 (0.00316066231451),0.436672194912 (0.0095309835742),0.425016004604 (0.00821327874682),0.158276589647 (0.0102891140367),nan (nan),nan (nan),0.226619243622 (0.000339155324209),2.43571925163 (0.0505403780394)
32,0.857650250054 (0.00215822253724),0.93672 (0.000198662192343),0.175446382283 (0.00264093772251),0.255844500129 (0.00194266226631),0.371734714628 (0.00892830217446),0.415279801018 (0.0104236000507),0.605938008756 (0.0150605720449),0.763883699368 (0.0623851006825),0.592592592593 (0.428734700103),0.830436950645 (0.00146284902553),0.697759160121 (0.00551168132279),0.522006271805 (0.00736839235975),0.449815456427 (0.00292849851296),0.152997380561 (0.00463050662925),0.00837707207541 (0.00126011304331),0.0010017980213 (0.000864247810228),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.289679184956 (0.00355018320358),0.374404958979 (0.00275122126341),0.434207623924 (0.00811072290383),0.431818909122 (0.00689337805031),0.244214755355 (0.00525837086131),0.0165695059416 (0.0024724252417),nan (nan),0.225331068039 (0.0001246404051),4.17921614647 (0.0527936095108)
33,0.857939917302 (0.00189097737125),0.936393333333 (0.000174610678049),0.173214946181 (0.00259376843607),0.254451125057 (0.00277184260421),0.375168865223 (0.00820149549812),0.420797603675 (0.00494129692568),0.605841918904 (0.00990006117557),0.765727351378 (0.0589610654028),0.611111111111 (0.43744488189),0.832640955544 (0.00211382967015),0.701160116414 (0.00371263439078),0.518816716278 (0.00725722852528),0.446030138414 (0.00312753835463),0.138843858107 (0.00425527792426),0.00638296430309 (0.000557751325142),0.000701342633197 (0.000619380635681),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.286759975778 (0.00343400866774),0.373393493973 (0.00346751443409),0.435425293537 (0.00749335289026),0.433032451061 (0.00339850616017),0.225845619447 (0.00510539902258),0.0126591179153 (0.0010975775801),nan (nan),0.225293080012 (0.000849012774471),3.67600226402 (0.0440223259309)
34,0.854745393032 (0.00166719963314),0.936746666667 (0.000189267594221),0.173206231985 (0.00193272872419),0.249604136719 (0.00249064168675),0.365714459896 (0.00628752262236),0.410584844611 (0.00611797904483),0.604674829921 (0.0122366514734),0.714309617535 (0.0335956227188),0.527777777778 (0.37474271009),0.827264830359 (0.00307266075124),0.698942529523 (0.00807267289681),0.527788148606 (0.00771903874945),0.454706263644 (0.00269160162629),0.155594079475 (0.00496587603092),0.00718312796057 (0.000450108406094),0.00110054951259 (0.000788686655177),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.286432913082 (0.00257455616183),0.367842634981 (0.0037290369185),0.432047466097 (0.00685288726539),0.431500960571 (0.00401893346619),0.247406032692 (0.00552899421795),0.0142223705894 (0.000882711242743),nan (nan),0.225041071574 (0.000983121284352),4.3470372359 (0.0477730699365)
35,0.855285391887 (0.00223471456945),0.936786666667 (0.00020677416559),0.171019210841 (0.00207325788442),0.249866737874 (0.00331672255357),0.368874635022 (0.00750330302785),0.416704231415 (0.0090351904535),0.61578877141 (0.0192109903473),0.745614035088 (0.0412933413893),0.6 (0.432049379894),0.830642015274 (0.000413171578706),0.70414149284 (0.00544233201199),0.525505701458 (0.00559443625819),0.450813893717 (0.0028264199582),0.145326414084 (0.00490863169158),0.00469382862507 (0.00118163807182),0.000700502450348 (0.000511126831793),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.283634002578 (0.0028336827152),0.368838884481 (0.00409967492542),0.433456377699 (0.00679517896067),0.433054296341 (0.00584470038824),0.235020102478 (0.00538541896967),0.00932354901659 (0.0023279035805),nan (nan),0.224011659622 (0.00168803493602),3.78120088577 (0.0447382017906)
36,0.860532238093 (0.00237510521919),0.936346666667 (0.000339934634239),0.17389641469 (0.00415589812185),0.26189640854 (0.00230228035783),0.398395918146 (0.00918939625961),0.440595369616 (0.00820851946075),0.643641448731 (0.0270002674651),0.694444444444 (0.274985970461),0.0 (0.0),0.836830034803 (0.00327421873231),0.684492057265 (0.00894050794661),0.488790074723 (0.00794777870746),0.416001292102 (0.00470542852454),0.107946204163 (0.00524055822609),0.000900595514459 (0.000652789608992),0.0 (0.0),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.287923036354 (0.00549968069656),0.378811552066 (0.00177658092942),0.438942034405 (0.00767842332024),0.427900957323 (0.00485164856705),0.184729513441 (0.00693629284523),0.00179787864712 (0.00130182698896),nan (nan),0.10740796725 (0.00031405705369),0.639013767242 (0.00352742640266)
